ID,業種,カテゴリー,ユーザーの悩み（入口語彙）,揺らぎ表現（例）,緊急度,ビジュアル解決要否
FT-001,フィンテック,紛失・盗難,カードを紛失した,カードを落とした・見当たらない,最高,不要
FT-002,フィンテック,不正利用,身に覚えのない請求がある,これ何のお金？・不正請求,最高,不要
FT-003,フィンテック,ログイン不能,パスワードを忘れた,ログインできない・ロックされた,高,必要（動画）
FT-004,フィンテック,送金ミス,振込先を間違えた,違う人に送った・返金してほしい,最高,不要
FT-005,フィンテック,暗号資産,送金したコインが届かない,セルフGOX・反映されない,最高,必要（動画）
FT-006,フィンテック,口座開設,eKYCでエラーが出る,本人確認の写真が撮れない,中,必要（画像）
FT-007,フィンテック,限度額,振込限度額を上げたい,大きい買い物をしたい・枠を増やして,低,不要
FT-008,フィンテック,残高照会,残高が合わない気がする,身に覚えのない引き落とし,高,不要
FT-009,フィンテック,住所変更,引っ越したので住所を変えたい,登録情報の変更・郵送物が届かない,低,不要
FT-010,フィンテック,相続,家族が亡くなったので口座を凍結したい,死亡の手続き・名義変更,高,不要
FT-011,フィンテック,ATMトラブル,ATMにカードが飲み込まれた,機械が故障している・お金が出てこない,最高,不要
FT-012,フィンテック,暗証番号,PINコードを間違えてロックされた,暗証番号の再発行,高,不要
FT-013,フィンテック,税金,確定申告用の書類が欲しい,年間取引報告書・残高証明書,低,必要（画像）
FT-014,フィンテック,仮想通貨,ウォレットの連携ができない,メタマスクが繋がらない,中,必要（動画）
FT-015,フィンテック,海外送金,海外へ送金したい,SWIFTコードは？・手数料は？,中,不要
FT-016,フィンテック,ローン,住宅ローンの審査に落ちた,理由を知りたい・再審査は？,高,不要
FT-017,フィンテック,カード再発行,汚損して使えない,磁気不良・ICチップの反応が悪い,中,不要
FT-018,フィンテック,キャンペーン,入会特典のポイントが届かない,キャッシュバック・条件を満たしているか,低,不要
FT-019,フィンテック,解約,退会したい,アカウントの削除・解約手続き,中,不要
FT-020,フィンテック,二段階認証,SMSが届かない,認証コードが来ない・機種変更した,高,必要（動画）
FT-021,フィンテック,投資信託,積立を停止したい,買い付けをやめたい,低,不要
FT-022,フィンテック,為替,レートが反映されていない,現在の価格を知りたい,低,不要
FT-023,フィンテック,家族カード,家族カードを作りたい,追加発行の手続き,低,不要
FT-024,フィンテック,未成年,子供の口座を作れるか,年齢制限・親権者の同意,低,不要
FT-025,フィンテック,即時決済,タッチ決済が反応しない,Apple Payの設定・コンビニで使えない,中,必要（動画）
FT-026,フィンテック,不正アクセス,海外からのログイン通知が来た,ハッキングされたかも,最高,不要
FT-027,フィンテック,フィッシング,怪しいメールのURLを踏んだ,詐欺サイト・情報の抜き取り,最高,不要
FT-028,フィンテック,一括支払い,リボ払いをやめたい,支払い方法の変更,中,不要
FT-029,フィンテック,キャッシング,上限額を減らしたい,借入枠の削減,低,不要
FT-030,フィンテック,法人,会社の口座を作りたい,ビジネスアカウント・必要書類,中,必要（画像）
FT-031,フィンテック,給与振込,指定したのに振り込まれていない,会社へ確認済み・銀行側の問題か,高,不要
FT-032,フィンテック,アプリ,アプリが強制終了する,クラッシュ・開かない,中,必要（動画）
FT-033,フィンテック,マイナンバー,通知カードで登録できるか,有効期限・写真付きでない場合,中,不要
FT-034,フィンテック,外貨預金,円安なのでドルを売りたい,為替損益の確認,低,不要
FT-035,フィンテック,通知,プッシュ通知を止めたい,お知らせがうるさい・設定変更,低,不要
FT-036,フィンテック,配当金,株主優待の案内が来ない,配当の振込先,低,不要
FT-037,フィンテック,積立NISA,NISA口座を他社から変えたい,金融機関の変更,低,不要
FT-038,フィンテック,デビットカード,残高があるのに決済できない,一時的な制限・利用不可店舗,中,不要
FT-039,フィンテック,バーチャルカード,番号を確認したい,アプリでどこで見れる？,低,必要（動画）
FT-040,フィンテック,紹介,友達紹介コードを入れるのを忘れた,後付けできる？,低,不要
FT-041,フィンテック,休眠,長い間使っていない口座はどうなるか,解約・手数料の有無,低,不要
FT-042,フィンテック,公共料金,引き落とし設定をしたい,電気代・水道代の連携,低,必要（画像）
FT-043,フィンテック,ポイント,貯まったポイントを現金化したい,交換レート・方法,低,不要
FT-044,フィンテック,ハードウェアウォレット,デバイスが認識されない,Ledger・Trezorの接続,中,必要（動画）
FT-045,フィンテック,ステーキング,報酬がもらえていない,配布スケジュール・条件,低,不要
FT-046,フィンテック,NFT,購入した画像がどこにあるかわからない,OpenSeaとの連携,中,必要（画像）
FT-047,フィンテック,確定申告,損益計算ソフトと連携したい,API連携・CSV出力,低,必要（動画）
FT-048,フィンテック,API,APIキーを発行したい,プログラミング用・取得方法,高,必要（動画）
FT-049,フィンテック,未受領,カードが届かない,発送状況の確認・不在票なし,中,不要
FT-050,フィンテック,有効期限,更新カードがいつ来るか,期限が切れそう,低,不要
FT-051,フィンテック,チャージ,コンビニでチャージできない,レジでの操作・エラーコード,中,不要
FT-052,フィンテック,送金キャンセル,処理中を止めたい,保留になっている・取消,高,不要
FT-053,フィンテック,本人認証,3Dセキュアのパスワードが不明,ネットショッピングで弾かれる,高,必要（動画）
FT-054,フィンテック,銀行コード,支店番号が知りたい,店番・金融機関コード,低,不要
FT-055,フィンテック,利息,普通預金の金利が知りたい,利息の入金日,低,不要
FT-056,フィンテック,貸貸付,お金を借りたい,カードローン・即日融資,中,不要
FT-057,フィンテック,審査,なぜ落ちたか教えろ,理由の開示・クレーム,高,不要
FT-058,フィンテック,学生,大学生でも作れるか,収入がない・親の同意,低,不要
FT-059,フィンテック,主婦,専業主婦の申し込み,世帯収入での審査,低,不要
FT-060,フィンテック,英語対応,English support please,外人の申し込み・パスポート,中,不要
FT-061,フィンテック,システムメンテナンス,ログインできない,いつ終わる？・緊急メンテ,中,不要
FT-062,フィンテック,キャッシュカード,割れた・磁気不良,ICチップの損傷,中,不要
FT-063,フィンテック,通帳,通帳を発行しないタイプにしたか忘れた,デジタル通帳・紙の通帳,低,不要
FT-064,フィンテック,印鑑,印鑑を忘れた,登録印・印鑑レス口座,低,不要
FT-065,フィンテック,暗号資産引出,トラベルルールについて知りたい,送金先の情報入力,中,不要
FT-066,フィンテック,ホワイトリスト,送金先アドレスを登録したい,安全なアドレス・ブックマーク,低,必要（画像）
FT-067,フィンテック,ガバナンス,投票の仕方がわからない,DAO・投票権,低,必要（動画）
FT-068,フィンテック,エアドロップ,トークンが届いていない,配布対象か確認,低,不要
FT-069,フィンテック,ガス代,ETHが足りなくて送金できない,手数料が高い・安く済ませる方法,中,不要
FT-070,フィンテック,メタマスク,シークレットリカバリーフレーズを忘れた,復旧できない・ハッキングの恐れ,最高,不要
FT-071,フィンテック,DEX,パンケーキスワップでエラーが出る,スリッページの設定,中,必要（動画）
FT-072,フィンテック,ブリッジ,チェーンを跨ぐ送金が失敗した,ネットワークの選択ミス,高,必要（動画）
FT-073,フィンテック,二重請求,同じ金額が二回引かれている,重複決済,高,不要
FT-074,フィンテック,予約振込,指定した日に振り込まれるか,予約の確認・キャンセル,低,不要
FT-075,フィンテック,給与先払い,前借りしたい,給料日前に引き出したい,中,不要
FT-076,フィンテック,退職,会社を辞めた後の手続き,給与振込口座の変更,低,不要
FT-077,フィンテック,未成年の投資,ジュニアNISAについて,廃止後の扱い,低,不要
